Adjusted Rand Score,Num Initial Clusters,_step,_runtime,_timestamp,Rand Score,Num Inferred Clusters,Num Iter Till Convergence,Adjusted Mutual Info Score,Normalized Mutual Info Score,Loss,_wandb,Runtime,n_samples,n_clusters,n_features,repeat_idx,init_method,max_distance_param,likelihood_cov_prefactor,centroids_prior_cov_prefactor,State,Sweep,run_name,cov_prefactor_ratio
0.0,1.0,0.0,2.0,1641336270.0,0.03965565565565565,1.0,2.0,-3.374047563088763e-17,0.0,170858.9987149644,{'runtime': 3},0.057901520282030106,1000,25,3,0,dp-means++,50.0,50.0,10,finished,9h6ic3hn,olive-sweep-1005,0.2
0.16377123615566366,2.0,0.0,2.0,1641336270.0,0.58193993993994,2.0,17.0,0.19639073241340135,0.197791750767992,531597.4449275723,{'runtime': 3},0.550269115716219,1000,5,10,1,dp-means++,50.0,50.0,10,finished,9h6ic3hn,confused-sweep-1004,0.2
0.13539413784623963,3.0,0.0,4.0,1641336270.0,0.653963963963964,3.0,29.0,0.14976238622075214,0.1522873286982479,480331.8167575574,{'runtime': 5},2.069057736545801,1000,5,10,0,dp-means++,50.0,50.0,10,finished,9h6ic3hn,stoic-sweep-1003,0.2
0.0,1.0,0.0,1.0,1641336265.0,0.1997957957957958,1.0,2.0,4.617703779927493e-16,0.0,172121.38803648422,{'runtime': 3},0.05630672536790371,1000,5,3,0,dp-means++,50.0,50.0,10,finished,9h6ic3hn,morning-sweep-1001,0.2
0.0,1.0,0.0,1.0,1641336269.0,0.19955755755755755,1.0,2.0,-2.054045494103695e-16,0.0,173988.49935062535,{'runtime': 3},0.06836982257664204,1000,5,3,1,dp-means++,50.0,50.0,10,finished,9h6ic3hn,vague-sweep-1002,0.2
6.379408682748863e-05,967.0,0.0,8.0,1641336270.0,0.959905905905906,967.0,2.0,0.0004739113013748236,0.6283811506620716,6884.242564317983,{'runtime': 9},6.320839561522007,1000,25,10,1,dp-means++,10.0,50.0,10,finished,9h6ic3hn,treasured-sweep-1000,0.2
0.0002192243114833269,956.0,0.0,8.0,1641336270.0,0.9602682682682684,956.0,2.0,0.0016087711818898248,0.6274117429027701,12400.46354445619,{'runtime': 9},6.509072873741388,1000,25,10,0,dp-means++,10.0,50.0,10,finished,9h6ic3hn,serene-sweep-999,0.2
0.012451687438383452,41.0,0.0,2.0,1641336264.0,0.9327027027027028,48.0,18.0,0.053910606050683006,0.20767902982314296,19674.967893043664,{'runtime': 3},0.5594324786216021,1000,25,3,1,dp-means++,10.0,50.0,10,finished,9h6ic3hn,treasured-sweep-998,0.2
0.011672747010064289,41.0,0.0,3.0,1641336258.0,0.9315415415415416,48.0,31.0,0.04248778642973297,0.19059841571914624,18963.396430413235,{'runtime': 4},0.9772631302475928,1000,25,3,0,dp-means++,10.0,50.0,10,finished,9h6ic3hn,woven-sweep-997,0.2
0.00028526530352947747,956.0,0.0,8.0,1641336264.0,0.8004404404404405,956.0,2.0,0.0068178321795960015,0.3730472083303173,13427.997411614017,{'runtime': 8},5.681655835360289,1000,5,10,1,dp-means++,10.0,50.0,10,finished,9h6ic3hn,royal-sweep-996,0.2
0.0002606272372687597,961.0,0.0,7.0,1641336258.0,0.8002082082082083,961.0,2.0,0.00677668390247883,0.37406344074911313,13994.4577339711,{'runtime': 9},6.164520248770714,1000,5,10,0,dp-means++,10.0,50.0,10,finished,9h6ic3hn,golden-sweep-995,0.2
0.013505710290580964,35.0,0.0,4.0,1641336253.0,0.7846626626626627,48.0,25.0,0.0681919249350026,0.10415850711580266,18926.57336451794,{'runtime': 4},1.572735795751214,1000,5,3,1,dp-means++,10.0,50.0,10,finished,9h6ic3hn,devout-sweep-994,0.2
0.010723357321845177,39.0,0.0,2.0,1641336250.0,0.7823443443443443,46.0,17.0,0.04993185865104888,0.08498468930016938,21072.6900730477,{'runtime': 3},0.5044838059693575,1000,5,3,0,dp-means++,10.0,50.0,10,finished,9h6ic3hn,radiant-sweep-993,0.2
0.0,1000.0,0.0,8.0,1641336255.0,0.959965965965966,1000.0,2.0,1.7624996650085032e-12,0.6341075970488453,5540.411441177597,{'runtime': 9},5.771118119359016,1000,25,10,1,dp-means++,5.0,50.0,10,finished,9h6ic3hn,feasible-sweep-992,0.2
0.00547385485055361,156.0,0.0,3.0,1641336250.0,0.9509189189189188,163.0,12.0,0.028882627038492995,0.34056246571096005,7071.712888707712,{'runtime': 3},0.5422329157590866,1000,25,3,1,dp-means++,5.0,50.0,10,finished,9h6ic3hn,splendid-sweep-990,0.2
0.0,1000.0,0.0,8.0,1641336256.0,0.9603443443443443,1000.0,2.0,1.819489963208398e-12,0.6347314222301335,10559.372930266509,{'runtime': 9},6.210644984617829,1000,25,10,0,dp-means++,5.0,50.0,10,finished,9h6ic3hn,brisk-sweep-991,0.2
0.005178645307250269,155.0,0.0,2.0,1641336248.0,0.9507047047047048,161.0,11.0,0.020999659412752277,0.3327576969310273,6914.4222630237855,{'runtime': 3},0.49584723822772503,1000,25,3,0,dp-means++,5.0,50.0,10,finished,9h6ic3hn,graceful-sweep-989,0.2
0.0,1000.0,0.0,8.0,1641336250.0,0.8004424424424424,1000.0,2.0,4.66027910666101e-13,0.3777566775780946,11483.889360716496,{'runtime': 9},6.284140028059483,1000,5,10,1,dp-means++,5.0,50.0,10,finished,9h6ic3hn,youthful-sweep-988,0.2
0.004132047531437983,153.0,0.0,2.0,1641336271.0,0.7945785785785786,153.0,11.0,0.042748684590124805,0.14144679110760544,7450.367256785503,{'runtime': 3},0.5599617790430784,1000,5,3,1,dp-means++,5.0,50.0,10,finished,9h6ic3hn,laced-sweep-986,0.2
0.0,1000.0,0.0,9.0,1641336250.0,0.8002042042042042,1000.0,2.0,6.782282883098306e-13,0.37764897361046734,12381.20539630162,{'runtime': 9},6.605465091764927,1000,5,10,0,dp-means++,5.0,50.0,10,finished,9h6ic3hn,eternal-sweep-987,0.2
0.0036654199703543256,148.0,0.0,2.0,1641336238.0,0.7941221221221221,152.0,18.0,0.036330557220092534,0.13604904339512722,10346.979975258117,{'runtime': 3},0.5963113568723202,1000,5,3,0,dp-means++,5.0,50.0,10,finished,9h6ic3hn,laced-sweep-985,0.2
0.0,1000.0,0.0,8.0,1641336241.0,0.959965965965966,1000.0,2.0,1.7624996650085032e-12,0.6341075970488453,5540.411441177597,{'runtime': 9},6.2431899048388,1000,25,10,1,dp-means++,1.0,50.0,10,finished,9h6ic3hn,usual-sweep-984,0.2
0.0,1000.0,0.0,9.0,1641336243.0,0.9603443443443443,1000.0,2.0,1.819489963208398e-12,0.6347314222301335,10559.372930266509,{'runtime': 9},6.138297658413649,1000,25,10,0,dp-means++,1.0,50.0,10,finished,9h6ic3hn,jolly-sweep-983,0.2
0.0001950886252625749,927.0,0.0,6.0,1641336237.0,0.9598338338338338,927.0,2.0,0.0009773737579948287,0.621299315730721,956.5705317544176,{'runtime': 7},4.080668879672885,1000,25,3,1,dp-means++,1.0,50.0,10,finished,9h6ic3hn,apricot-sweep-982,0.2
0.00034144896891600483,895.0,0.0,6.0,1641336235.0,0.9601441441441442,895.0,2.0,0.0024658958192060407,0.616231407194684,967.1920801965448,{'runtime': 7},4.170764138922095,1000,25,3,0,dp-means++,1.0,50.0,10,finished,9h6ic3hn,vocal-sweep-981,0.2
0.0,1000.0,0.0,8.0,1641336235.0,0.8004424424424424,1000.0,2.0,4.66027910666101e-13,0.3777566775780946,11483.889360716496,{'runtime': 10},6.760749854147434,1000,5,10,1,dp-means++,1.0,50.0,10,finished,9h6ic3hn,stellar-sweep-980,0.2
0.0002175354186591688,897.0,0.0,6.0,1641336232.0,0.8003523523523524,897.0,2.0,0.005687466597201182,0.3602005847704377,1458.92094834529,{'runtime': 6},3.5047756917774677,1000,5,3,1,dp-means++,1.0,50.0,10,finished,9h6ic3hn,swept-sweep-978,0.2
0.0,1000.0,0.0,8.0,1641336235.0,0.8002042042042042,1000.0,2.0,6.782282883098306e-13,0.37764897361046734,12381.20539630162,{'runtime': 8},5.603721844032407,1000,5,10,0,dp-means++,1.0,50.0,10,finished,9h6ic3hn,earnest-sweep-979,0.2
-7.556727015939375e-05,885.0,0.0,5.0,1641336232.0,0.8000340340340341,885.0,2.0,-0.001738933080952232,0.3526250261692907,4293.259302519402,{'runtime': 7},3.83321250975132,1000,5,3,0,dp-means++,1.0,50.0,10,finished,9h6ic3hn,hopeful-sweep-977,0.2
0.0,1000.0,0.0,8.0,1641336233.0,0.959965965965966,1000.0,2.0,1.7624996650085032e-12,0.6341075970488453,5540.411441177597,{'runtime': 9},5.814300017431378,1000,25,10,1,dp-means++,0.5,50.0,10,finished,9h6ic3hn,ancient-sweep-976,0.2
-5.601997644850219e-05,986.0,0.0,6.0,1641336226.0,0.959937937937938,986.0,2.0,-0.0004178773811413552,0.6314816639127921,924.6044500163008,{'runtime': 7},4.5642975233495235,1000,25,3,1,dp-means++,0.5,50.0,10,finished,9h6ic3hn,soft-sweep-974,0.2
0.0,1000.0,0.0,8.0,1641336229.0,0.9603443443443443,1000.0,2.0,1.819489963208398e-12,0.6347314222301335,10559.372930266509,{'runtime': 9},6.589928483590484,1000,25,10,0,dp-means++,0.5,50.0,10,finished,9h6ic3hn,generous-sweep-975,0.2
0.00012975797636190087,982.0,0.0,6.0,1641336227.0,0.9603163163163164,982.0,2.0,0.0009588290140727988,0.6319057927089485,923.5313100054472,{'runtime': 8},4.868393600918353,1000,25,3,0,dp-means++,0.5,50.0,10,finished,9h6ic3hn,crisp-sweep-973,0.2
0.0,1000.0,0.0,8.0,1641336222.0,0.8004424424424424,1000.0,2.0,4.66027910666101e-13,0.3777566775780946,11483.889360716496,{'runtime': 9},6.2908398900181055,1000,5,10,1,dp-means++,0.5,50.0,10,finished,9h6ic3hn,wise-sweep-972,0.2
0.0,1000.0,0.0,9.0,1641336223.0,0.8002042042042042,1000.0,2.0,6.782282883098306e-13,0.37764897361046734,12381.20539630162,{'runtime': 9},6.244340831413865,1000,5,10,0,dp-means++,0.5,50.0,10,finished,9h6ic3hn,earnest-sweep-971,0.2
-2.7981617157191873e-05,988.0,0.0,7.0,1641336218.0,0.8004224224224225,988.0,2.0,-0.0007283392526966776,0.3749078247734209,1406.081964993867,{'runtime': 7},4.505810044705868,1000,5,3,1,dp-means++,0.5,50.0,10,finished,9h6ic3hn,sparkling-sweep-970,0.2
-4.404112946350232e-05,989.0,0.0,7.0,1641336215.0,0.8001821821821822,989.0,2.0,-0.0011477765077298598,0.3747385965907344,4234.831448076125,{'runtime': 8},5.149062115699053,1000,5,3,0,dp-means++,0.5,50.0,10,finished,9h6ic3hn,different-sweep-969,0.2
0.0,1000.0,0.0,9.0,1641336215.0,0.959965965965966,1000.0,2.0,1.7624996650085032e-12,0.6341075970488453,5540.411441177597,{'runtime': 10},7.105744481086731,1000,25,10,1,dp-means++,0.1,50.0,10,finished,9h6ic3hn,swift-sweep-968,0.2
0.0,1000.0,0.0,8.0,1641336214.0,0.9603443443443443,1000.0,2.0,1.819489963208398e-12,0.6347314222301335,10559.372930266509,{'runtime': 9},5.650290474295616,1000,25,10,0,dp-means++,0.1,50.0,10,finished,9h6ic3hn,brisk-sweep-967,0.2
0.0,1000.0,0.0,6.0,1641336212.0,0.959965965965966,1000.0,2.0,1.7624996650085032e-12,0.6341075970488453,919.9789875229172,{'runtime': 7},4.3100326135754585,1000,25,3,1,dp-means++,0.1,50.0,10,finished,9h6ic3hn,dauntless-sweep-966,0.2
