Num Iter Till Convergence,Loss,_wandb,Runtime,_timestamp,Adjusted Rand Score,Num Initial Clusters,Num Inferred Clusters,Adjusted Mutual Info Score,_step,_runtime,Rand Score,Normalized Mutual Info Score,n_samples,n_clusters,n_features,repeat_idx,init_method,max_distance_param,likelihood_cov_prefactor,centroids_prior_cov_prefactor,State,Sweep,run_name,cov_prefactor_ratio
2.0,916.9605050685508,{'runtime': 8},4.6979805286973715,1641343066.0,0.0,1000.0,1000.0,1.819489963208398e-12,0.0,7.0,0.9603443443443443,0.6347314222301335,1000,25,3,0,dp-means++,50.0,50.0,10,finished,1s4yi7j8,earnest-sweep-1005,0.2
2.0,11483.889360716496,{'runtime': 9},6.647437961772084,1641343065.0,0.0,1000.0,1000.0,4.66027910666101e-13,0.0,8.0,0.8004424424424424,0.3777566775780946,1000,5,10,1,dp-means++,50.0,50.0,10,finished,1s4yi7j8,sandy-sweep-1004,0.2
2.0,12381.20539630162,{'runtime': 9},6.586444901768118,1641343066.0,0.0,1000.0,1000.0,6.782282883098306e-13,0.0,9.0,0.8002042042042042,0.37764897361046734,1000,5,10,0,dp-means++,50.0,50.0,10,finished,1s4yi7j8,dulcet-sweep-1003,0.2
2.0,1403.305709875818,{'runtime': 9},6.030799333006144,1641343065.0,0.0,1000.0,1000.0,4.66027910666101e-13,0.0,8.0,0.8004424424424424,0.3777566775780946,1000,5,3,1,dp-means++,50.0,50.0,10,finished,1s4yi7j8,dry-sweep-1002,0.2
2.0,4228.398936744417,{'runtime': 7},4.245598526671529,1641343058.0,0.0,1000.0,1000.0,6.782282883098306e-13,0.0,6.0,0.8002042042042042,0.37764897361046734,1000,5,3,0,dp-means++,50.0,50.0,10,finished,1s4yi7j8,iconic-sweep-1001,0.2
2.0,5540.411441177595,{'runtime': 11},7.766648780554533,1641343061.0,0.0,1000.0,1000.0,1.7624996650085032e-12,0.0,9.0,0.959965965965966,0.6341075970488453,1000,25,10,1,dp-means++,10.0,50.0,10,finished,1s4yi7j8,noble-sweep-1000,0.2
2.0,10559.372930266509,{'runtime': 9},6.1669794246554375,1641343056.0,0.0,1000.0,1000.0,1.819489963208398e-12,0.0,8.0,0.9603443443443443,0.6347314222301335,1000,25,10,0,dp-means++,10.0,50.0,10,finished,1s4yi7j8,legendary-sweep-999,0.2
2.0,919.9789875229172,{'runtime': 7},4.861147528514266,1641343053.0,0.0,1000.0,1000.0,1.7624996650085032e-12,0.0,7.0,0.959965965965966,0.6341075970488453,1000,25,3,1,dp-means++,10.0,50.0,10,finished,1s4yi7j8,toasty-sweep-998,0.2
2.0,916.9605050685508,{'runtime': 9},5.890451747924089,1641343052.0,0.0,1000.0,1000.0,1.819489963208398e-12,0.0,8.0,0.9603443443443443,0.6347314222301335,1000,25,3,0,dp-means++,10.0,50.0,10,finished,1s4yi7j8,glad-sweep-997,0.2
2.0,11483.889360716496,{'runtime': 9},5.989077139645815,1641343047.0,0.0,1000.0,1000.0,4.66027910666101e-13,0.0,8.0,0.8004424424424424,0.3777566775780946,1000,5,10,1,dp-means++,10.0,50.0,10,finished,1s4yi7j8,sweet-sweep-996,0.2
2.0,1403.305709875819,{'runtime': 7},4.562232466414571,1641343045.0,0.0,1000.0,1000.0,4.66027910666101e-13,0.0,6.0,0.8004424424424424,0.3777566775780946,1000,5,3,1,dp-means++,10.0,50.0,10,finished,1s4yi7j8,different-sweep-994,0.2
2.0,12381.20539630162,{'runtime': 9},5.818632714450359,1641343046.0,0.0,1000.0,1000.0,6.782282883098306e-13,0.0,7.0,0.8002042042042042,0.37764897361046734,1000,5,10,0,dp-means++,10.0,50.0,10,finished,1s4yi7j8,misty-sweep-995,0.2
2.0,4228.398936744417,{'runtime': 7},4.842115992680192,1641343044.0,0.0,1000.0,1000.0,6.782282883098306e-13,0.0,7.0,0.8002042042042042,0.37764897361046734,1000,5,3,0,dp-means++,10.0,50.0,10,finished,1s4yi7j8,efficient-sweep-993,0.2
2.0,5540.411441177597,{'runtime': 10},7.303227202966809,1641343045.0,0.0,1000.0,1000.0,1.7624996650085032e-12,0.0,9.0,0.959965965965966,0.6341075970488453,1000,25,10,1,dp-means++,5.0,50.0,10,finished,1s4yi7j8,iconic-sweep-992,0.2
2.0,919.9789875229172,{'runtime': 9},5.941464504227042,1641343044.0,0.0,1000.0,1000.0,1.7624996650085032e-12,0.0,9.0,0.959965965965966,0.6341075970488453,1000,25,3,1,dp-means++,5.0,50.0,10,finished,1s4yi7j8,colorful-sweep-990,0.2
2.0,10559.372930266509,{'runtime': 9},6.095733294263482,1641343045.0,0.0,1000.0,1000.0,1.819489963208398e-12,0.0,8.0,0.9603443443443443,0.6347314222301335,1000,25,10,0,dp-means++,5.0,50.0,10,finished,1s4yi7j8,vocal-sweep-991,0.2
2.0,916.9605050685492,{'runtime': 7},4.075760839506984,1641343037.0,0.0,1000.0,1000.0,1.819489963208398e-12,0.0,5.0,0.9603443443443443,0.6347314222301335,1000,25,3,0,dp-means++,5.0,50.0,10,finished,1s4yi7j8,fragrant-sweep-989,0.2
2.0,11483.889360716496,{'runtime': 9},5.374675966799259,1641343038.0,0.0,1000.0,1000.0,4.66027910666101e-13,0.0,8.0,0.8004424424424424,0.3777566775780946,1000,5,10,1,dp-means++,5.0,50.0,10,finished,1s4yi7j8,ethereal-sweep-988,0.2
2.0,12381.205396301622,{'runtime': 10},7.203775268048048,1641343041.0,0.0,1000.0,1000.0,6.782282883098306e-13,0.0,9.0,0.8002042042042042,0.37764897361046734,1000,5,10,0,dp-means++,5.0,50.0,10,finished,1s4yi7j8,good-sweep-987,0.2
2.0,1403.305709875818,{'runtime': 8},5.297708520665765,1641343032.0,0.0,1000.0,1000.0,4.66027910666101e-13,0.0,7.0,0.8004424424424424,0.3777566775780946,1000,5,3,1,dp-means++,5.0,50.0,10,finished,1s4yi7j8,blooming-sweep-986,0.2
2.0,4228.398936744417,{'runtime': 8},5.861611587926745,1641343031.0,0.0,1000.0,1000.0,6.782282883098306e-13,0.0,8.0,0.8002042042042042,0.37764897361046734,1000,5,3,0,dp-means++,5.0,50.0,10,finished,1s4yi7j8,cerulean-sweep-985,0.2
2.0,10559.372930266509,{'runtime': 9},5.663499876856804,1641343025.0,0.0,1000.0,1000.0,1.819489963208398e-12,0.0,7.0,0.9603443443443443,0.6347314222301335,1000,25,10,0,dp-means++,1.0,50.0,10,finished,1s4yi7j8,skilled-sweep-983,0.2
2.0,5540.411441177597,{'runtime': 9},6.269371099770069,1641343026.0,0.0,1000.0,1000.0,1.7624996650085032e-12,0.0,7.0,0.959965965965966,0.6341075970488453,1000,25,10,1,dp-means++,1.0,50.0,10,finished,1s4yi7j8,solar-sweep-984,0.2
2.0,919.9789875229172,{'runtime': 9},5.891898678615689,1641343025.0,0.0,1000.0,1000.0,1.7624996650085032e-12,0.0,7.0,0.959965965965966,0.6341075970488453,1000,25,3,1,dp-means++,1.0,50.0,10,finished,1s4yi7j8,peachy-sweep-982,0.2
2.0,916.9605050685508,{'runtime': 7},4.63950558565557,1641343023.0,0.0,1000.0,1000.0,1.819489963208398e-12,0.0,6.0,0.9603443443443443,0.6347314222301335,1000,25,3,0,dp-means++,1.0,50.0,10,finished,1s4yi7j8,lunar-sweep-981,0.2
2.0,12381.20539630162,{'runtime': 9},6.063148311339319,1641343024.0,0.0,1000.0,1000.0,6.782282883098306e-13,0.0,8.0,0.8002042042042042,0.37764897361046734,1000,5,10,0,dp-means++,1.0,50.0,10,finished,1s4yi7j8,divine-sweep-979,0.2
2.0,1403.305709875818,{'runtime': 7},4.785034354776144,1641343021.0,0.0,1000.0,1000.0,4.66027910666101e-13,0.0,6.0,0.8004424424424424,0.3777566775780946,1000,5,3,1,dp-means++,1.0,50.0,10,finished,1s4yi7j8,exalted-sweep-978,0.2
2.0,11483.889360716496,{'runtime': 9},6.573297455906868,1641343024.0,0.0,1000.0,1000.0,4.66027910666101e-13,0.0,8.0,0.8004424424424424,0.3777566775780946,1000,5,10,1,dp-means++,1.0,50.0,10,finished,1s4yi7j8,eternal-sweep-980,0.2
2.0,4228.398936744417,{'runtime': 9},6.058333415538073,1641343024.0,0.0,1000.0,1000.0,6.782282883098306e-13,0.0,8.0,0.8002042042042042,0.37764897361046734,1000,5,3,0,dp-means++,1.0,50.0,10,finished,1s4yi7j8,jolly-sweep-977,0.2
2.0,5540.411441177597,{'runtime': 10},6.9515931606292725,1641343019.0,0.0,1000.0,1000.0,1.7624996650085032e-12,0.0,8.0,0.959965965965966,0.6341075970488453,1000,25,10,1,dp-means++,0.5,50.0,10,finished,1s4yi7j8,giddy-sweep-976,0.2
2.0,10559.372930266509,{'runtime': 8},5.288131190463901,1641343017.0,0.0,1000.0,1000.0,1.819489963208398e-12,0.0,7.0,0.9603443443443443,0.6347314222301335,1000,25,10,0,dp-means++,0.5,50.0,10,finished,1s4yi7j8,twilight-sweep-975,0.2
2.0,919.9789875229172,{'runtime': 8},5.380465280264616,1641343012.0,0.0,1000.0,1000.0,1.7624996650085032e-12,0.0,8.0,0.959965965965966,0.6341075970488453,1000,25,3,1,dp-means++,0.5,50.0,10,finished,1s4yi7j8,ethereal-sweep-974,0.2
2.0,916.9605050685508,{'runtime': 9},5.812393544241786,1641343011.0,0.0,1000.0,1000.0,1.819489963208398e-12,0.0,8.0,0.9603443443443443,0.6347314222301335,1000,25,3,0,dp-means++,0.5,50.0,10,finished,1s4yi7j8,amber-sweep-973,0.2
