Adjusted Rand Score,Num Iter Till Convergence,Normalized Mutual Info Score,_runtime,Rand Score,_timestamp,Num Initial Clusters,Loss,_step,_wandb,Runtime,Num Inferred Clusters,Adjusted Mutual Info Score,n_samples,n_clusters,n_features,repeat_idx,init_method,max_distance_param,likelihood_cov_prefactor,centroids_prior_cov_prefactor,State,Sweep,run_name,cov_prefactor_ratio
0.0,2.0,1.2831631544843713e-15,2.0,0.5004684684684685,1641364529.0,1.0,1849868.3698262149,0.0,{'runtime': 3},0.15001922473311424,1.0,-5.645917879792162e-17,1000,2,15,1,dp-means++,1000.0,50.0,50,finished,iwyszsz5,stilted-sweep-8621,1.0
0.0,2.0,0.0,3.0,0.4995315315315315,1641364534.0,1.0,1413275.2949702526,0.0,{'runtime': 3},0.14301469549536705,1.0,2.5628595219074938e-15,1000,2,15,0,dp-means++,1000.0,50.0,50,finished,iwyszsz5,balmy-sweep-8620,1.0
0.0,2.0,0.0,2.0,0.4995315315315315,1641364528.0,1.0,413032.83744104434,0.0,{'runtime': 3},0.13627185858786106,1.0,2.5628595219074938e-15,1000,2,5,2,dp-means++,1000.0,50.0,50,finished,iwyszsz5,super-sweep-8619,1.0
0.0,2.0,0.0,2.0,0.4995315315315315,1641364528.0,1.0,473347.8798860514,0.0,{'runtime': 3},0.14099441841244698,1.0,2.5628595219074938e-15,1000,2,5,0,dp-means++,1000.0,50.0,50,finished,iwyszsz5,feasible-sweep-8617,1.0
0.0,2.0,1.2831631544843713e-15,2.0,0.5004684684684685,1641364528.0,1.0,472301.8806443165,0.0,{'runtime': 3},0.1472487971186638,1.0,-5.645917879792162e-17,1000,2,5,1,dp-means++,1000.0,50.0,50,finished,iwyszsz5,dauntless-sweep-8618,1.0
0.0,2.0,0.0,2.0,0.010216216216216215,1641364517.0,1.0,1474846.2703355628,0.0,{'runtime': 3},0.11744923144578934,1.0,-1.642167280133603e-17,1000,100,15,2,dp-means++,500.0,50.0,50,finished,iwyszsz5,light-sweep-8616,1.0
0.0,2.0,0.0,3.0,0.009785785785785784,1641364516.0,1.0,1559568.0281984962,0.0,{'runtime': 3},0.14488514326512814,1.0,-5.562813419464311e-17,1000,100,15,0,dp-means++,500.0,50.0,50,finished,iwyszsz5,whole-sweep-8614,1.0
0.0,2.0,0.0,2.0,0.010216216216216215,1641364516.0,1.0,484033.42376945657,0.0,{'runtime': 3},0.1463968474417925,1.0,-1.642167280133603e-17,1000,100,5,2,dp-means++,500.0,50.0,50,finished,iwyszsz5,genial-sweep-8613,1.0
0.0,2.0,0.0,2.0,0.010028028028028027,1641364516.0,1.0,1540811.0662299632,0.0,{'runtime': 3},0.12197023257613182,1.0,-7.413091608248567e-18,1000,100,15,1,dp-means++,500.0,50.0,50,finished,iwyszsz5,usual-sweep-8615,1.0
0.0,2.0,0.0,3.0,0.010028028028028027,1641364515.0,1.0,489463.228778676,0.0,{'runtime': 3},0.13665465638041496,1.0,-7.413091608248567e-18,1000,100,5,1,dp-means++,500.0,50.0,50,finished,iwyszsz5,visionary-sweep-8612,1.0
0.0,2.0,0.0,2.0,0.02029029029029029,1641364514.0,1.0,503833.0048426459,0.0,{'runtime': 3},0.13675225712358952,1.0,2.2894240697461283e-18,1000,50,5,2,dp-means++,500.0,50.0,50,finished,iwyszsz5,vivid-sweep-8607,1.0
0.0,2.0,0.0,2.0,0.02029029029029029,1641364513.0,1.0,1494204.7636870164,0.0,{'runtime': 3},0.12567844055593014,1.0,2.2894240697461283e-18,1000,50,15,2,dp-means++,500.0,50.0,50,finished,iwyszsz5,drawn-sweep-8610,1.0
0.0,2.0,0.0,3.0,0.019687687687687687,1641364516.0,1.0,1480716.9184054432,0.0,{'runtime': 3},0.14433063473552463,1.0,-1.094481982399342e-17,1000,50,15,0,dp-means++,500.0,50.0,50,finished,iwyszsz5,atomic-sweep-8608,1.0
0.0,2.0,0.0,2.0,0.009785785785785784,1641364514.0,1.0,488302.41578189423,0.0,{'runtime': 3},0.14558067545294762,1.0,-5.562813419464311e-17,1000,100,5,0,dp-means++,500.0,50.0,50,finished,iwyszsz5,logical-sweep-8611,1.0
0.0,2.0,0.0,2.0,0.020168168168168167,1641364513.0,1.0,1501832.631796857,0.0,{'runtime': 3},0.12615683302283287,1.0,5.945298623993748e-18,1000,50,15,1,dp-means++,500.0,50.0,50,finished,iwyszsz5,dry-sweep-8609,1.0
0.0,2.0,0.0,2.0,0.0996996996996997,1641364512.0,1.0,1549979.7996402413,0.0,{'runtime': 3},0.14122442342340946,1.0,2.580042033077814e-16,1000,10,15,1,dp-means++,500.0,50.0,50,finished,iwyszsz5,stellar-sweep-8603,1.0
0.0,2.0,0.0,2.0,0.019687687687687687,1641364514.0,1.0,495250.53106503305,0.0,{'runtime': 3},0.1372714266180992,1.0,-1.094481982399342e-17,1000,50,5,0,dp-means++,500.0,50.0,50,finished,iwyszsz5,devout-sweep-8605,1.0
0.0,2.0,0.0,2.0,0.09993593593593592,1641364514.0,1.0,1567607.7865536502,0.0,{'runtime': 3},0.1509957481175661,1.0,-4.946580158487838e-17,1000,10,15,2,dp-means++,500.0,50.0,50,finished,iwyszsz5,major-sweep-8604,1.0
0.0,2.0,0.0,2.0,0.020168168168168167,1641364514.0,1.0,526911.5295793881,0.0,{'runtime': 3},0.13929852470755577,1.0,5.945298623993748e-18,1000,50,5,1,dp-means++,500.0,50.0,50,finished,iwyszsz5,devout-sweep-8606,1.0
0.0,2.0,0.0,2.0,0.09993593593593592,1641364501.0,1.0,543299.628560046,0.0,{'runtime': 3},0.11221634782850742,1.0,-4.946580158487838e-17,1000,10,5,2,dp-means++,500.0,50.0,50,finished,iwyszsz5,pleasant-sweep-8601,1.0
0.0,2.0,0.0,2.0,0.09972172172172172,1641364501.0,1.0,1430632.740093444,0.0,{'runtime': 3},0.11745166778564452,1.0,-1.6685003805527143e-16,1000,10,15,0,dp-means++,500.0,50.0,50,finished,iwyszsz5,fresh-sweep-8602,1.0
