Num Initial Clusters,Adjusted Mutual Info Score,Normalized Mutual Info Score,Loss,_runtime,_timestamp,Adjusted Rand Score,Num Inferred Clusters,Num Iter Till Convergence,_step,_wandb,Runtime,Rand Score,n_samples,n_clusters,n_features,repeat_idx,init_method,max_distance_param,likelihood_cov_prefactor,centroids_prior_cov_prefactor,State,Sweep,run_name,cov_prefactor_ratio
1.0,-3.374047563088763e-17,0.0,223438.9216295687,2.0,1641676542.0,0.0,1.0,2.0,0.0,{'runtime': 3},0.0735331941395998,0.03965565565565565,1000,25,3,0,dp-means++,100.0,50,30,finished,jy4gzpi5,atomic-sweep-2285,0.6
1.0,-2.054045494103695e-16,0.0,787237.9566138398,2.0,1641676542.0,0.0,1.0,2.0,0.0,{'runtime': 2},0.06650502979755402,0.19955755755755755,1000,5,10,1,dp-means++,100.0,50,30,finished,jy4gzpi5,fearless-sweep-2284,0.6
1.0,4.617703779927493e-16,0.0,707767.9235727461,2.0,1641676541.0,0.0,1.0,2.0,0.0,{'runtime': 2},0.11852112039923668,0.1997957957957958,1000,5,10,0,dp-means++,100.0,50,30,finished,jy4gzpi5,absurd-sweep-2283,0.6
1.0,-2.054045494103695e-16,0.0,221357.4547177279,2.0,1641676540.0,0.0,1.0,2.0,0.0,{'runtime': 3},0.06713618338108063,0.19955755755755755,1000,5,3,1,dp-means++,100.0,50,30,finished,jy4gzpi5,stellar-sweep-2282,0.6
6.0,0.23771796149337068,0.2670975932223065,613316.4204031881,2.0,1641676538.0,0.06880444545031257,6.0,31.0,0.0,{'runtime': 4},0.8946685455739498,0.8256816816816817,1000,40,10,1,dp-means++,50.0,50,30,finished,jy4gzpi5,wandering-sweep-2280,0.6
1.0,4.617703779927493e-16,0.0,231381.4985024382,2.0,1641676539.0,0.0,1.0,2.0,0.0,{'runtime': 2},0.11916197650134563,0.1997957957957958,1000,5,3,0,dp-means++,100.0,50,30,finished,jy4gzpi5,usual-sweep-2281,0.6
3.0,0.143704329330587,0.15815853405080954,664533.472753675,4.0,1641676541.0,0.03207602000000313,3.0,29.0,0.0,{'runtime': 5},2.0738252599257976,0.6665945945945946,1000,40,10,0,dp-means++,50.0,50,30,finished,jy4gzpi5,misunderstood-sweep-2279,0.6
1.0,2.9958677382435703e-17,0.0,237584.06706795108,2.0,1641676534.0,0.0,1.0,2.0,0.0,{'runtime': 3},0.0658632293343544,0.02466066066066066,1000,40,3,0,dp-means++,50.0,50,30,finished,jy4gzpi5,earthy-sweep-2277,0.6
2.0,0.06320969901137743,0.0717772529395904,184699.11131529516,2.0,1641676535.0,0.012903746399257924,2.0,24.0,0.0,{'runtime': 4},0.7844098713248968,0.5054494494494495,1000,40,3,1,dp-means++,50.0,50,30,finished,jy4gzpi5,true-sweep-2278,0.6
7.0,0.31157614396869093,0.33177742177539277,579640.5899178947,3.0,1641676538.0,0.1457100724046921,7.0,27.0,0.0,{'runtime': 4},1.6568964440375566,0.8512232232232232,1000,25,10,1,dp-means++,50.0,50,30,finished,jy4gzpi5,rosy-sweep-2276,0.6
6.0,0.3060415512305529,0.323347471271413,596037.3589466449,3.0,1641676536.0,0.13222491238268863,6.0,15.0,0.0,{'runtime': 3},0.8933726493269205,0.8306986986986987,1000,25,10,0,dp-means++,50.0,50,30,finished,jy4gzpi5,swept-sweep-2275,0.6
2.0,0.10327057245631614,0.10888692247839536,188269.66763321933,3.0,1641676535.0,0.024752688589975563,2.0,12.0,0.0,{'runtime': 4},0.7068315334618092,0.5010410410410411,1000,25,3,1,dp-means++,50.0,50,30,finished,jy4gzpi5,unique-sweep-2274,0.6
1.0,-3.374047563088763e-17,0.0,223438.9216295687,2.0,1641676533.0,0.0,1.0,2.0,0.0,{'runtime': 3},0.0704626590013504,0.03965565565565565,1000,25,3,0,dp-means++,50.0,50,30,finished,jy4gzpi5,amber-sweep-2273,0.6
4.0,0.586935096972772,0.5886110709666846,538683.2058469811,2.0,1641676532.0,0.5618660706121721,4.0,10.0,0.0,{'runtime': 3},0.5683206290123053,0.8438938938938939,1000,5,10,1,dp-means++,50.0,50,30,finished,jy4gzpi5,hopeful-sweep-2272,0.6
3.0,0.4119835037372761,0.4137518349129057,560729.7831226909,3.0,1641676532.0,0.3405097149769642,3.0,20.0,0.0,{'runtime': 3},1.119715727865696,0.7270310310310311,1000,5,10,0,dp-means++,50.0,50,30,finished,jy4gzpi5,worldly-sweep-2271,0.6
1.0,-2.054045494103695e-16,0.0,221357.4547177279,2.0,1641676536.0,0.0,1.0,2.0,0.0,{'runtime': 3},0.11744505912065506,0.19955755755755755,1000,5,3,1,dp-means++,50.0,50,30,finished,jy4gzpi5,fancy-sweep-2270,0.6
988.0,0.0005960293382887447,0.692066297481271,5665.684059031335,8.0,1641676537.0,0.00011174777745617984,988.0,2.0,0.0,{'runtime': 9},6.611868467181921,0.9749389389389388,1000,40,10,1,dp-means++,10.0,50,30,finished,jy4gzpi5,smart-sweep-2268,0.6
1.0,4.617703779927493e-16,0.0,231381.4985024382,2.0,1641676532.0,0.0,1.0,2.0,0.0,{'runtime': 3},0.11775038950145245,0.1997957957957958,1000,5,3,0,dp-means++,50.0,50,30,finished,jy4gzpi5,blooming-sweep-2269,0.6
52.0,0.11364349511967692,0.3317344876759065,24001.314170231948,3.0,1641676529.0,0.031375098858579156,59.0,15.0,0.0,{'runtime': 4},0.9139426000183448,0.9505745745745746,1000,40,3,1,dp-means++,10.0,50,30,finished,jy4gzpi5,polar-sweep-2266,0.6
986.0,-0.00029453313479228235,0.6922762654737792,9856.88749191954,10.0,1641676533.0,-5.599555330392292e-05,986.0,2.0,0.0,{'runtime': 11},7.410256987437606,0.9753113113113112,1000,40,10,0,dp-means++,10.0,50,30,finished,jy4gzpi5,azure-sweep-2267,0.6
60.0,0.11176367103761076,0.344025726834805,19510.136185719304,4.0,1641676529.0,0.03214053546549956,66.0,20.0,0.0,{'runtime': 4},1.2460353039205074,0.9548208208208208,1000,40,3,0,dp-means++,10.0,50,30,finished,jy4gzpi5,peachy-sweep-2265,0.6
992.0,0.002002058148042551,0.6334315509805304,16399.849131862782,9.0,1641676533.0,0.0002679143747336464,992.0,2.0,0.0,{'runtime': 9},6.35393997374922,0.959961961961962,1000,25,10,1,dp-means++,10.0,50,30,finished,jy4gzpi5,spring-sweep-2264,0.6
55.0,0.13747312169444648,0.3088714972028672,22119.48371980419,3.0,1641676522.0,0.03539014029113481,67.0,14.0,0.0,{'runtime': 3},1.0937558228615671,0.9397677677677676,1000,25,3,1,dp-means++,10.0,50,30,finished,jy4gzpi5,hardy-sweep-2262,0.6
51.0,0.12083295844128264,0.2772411980160563,22138.644749678147,2.0,1641676522.0,0.031466422483016565,57.0,27.0,0.0,{'runtime': 3},0.7948589995503426,0.9370810810810812,1000,25,3,0,dp-means++,10.0,50,30,finished,jy4gzpi5,honest-sweep-2261,0.6
